combo,best_strategy,mho_f1,random_f1,greedy_f1,clustered_f1,all_f1,mho_margin_vs_best_other
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",mho,0.28134556574923547,0.20689655172413793,0.16593886462882096,0.21621621621621623,0.0,0.06512934953301924
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Modbus.csv",mho,0.2927835051546392,0.23684210526315788,0.23097112860892388,0.20526315789473684,0.1557377049180328,0.05594139989148131
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",mho,0.28298887122416533,0.18911174785100288,0.21637426900584794,0.2233502538071066,0.2349869451697128,0.048001926054452526
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Weather.csv",mho,0.2551440329218107,0.208955223880597,0.1836734693877551,0.2033898305084746,0.11920529801324503,0.046188809041213696
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Weather.csv",mho,0.22110552763819097,0.12987012987012986,0.1811320754716981,0.15625,0.0,0.03997345216649287
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Modbus.csv",mho,0.3683083511777302,0.3150684931506849,0.29473684210526313,0.3221476510067114,0.3313253012048193,0.03698304997291091
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",mho,0.3855421686746988,0.34375,0.35384615384615387,0.35384615384615387,0.35384615384615387,0.03169601482854495
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",mho,0.23140495867768596,0.1319796954314721,0.20408163265306123,0.1791044776119403,0.17777777777777778,0.027323326024624728
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Weather.csv",mho,0.23008849557522124,0.2125984251968504,0.21379310344827587,0.11976047904191617,0.19195046439628483,0.016295392126945363
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",mho,0.24414715719063546,0.16593886462882096,0.16593886462882096,0.22823984526112184,0.16593886462882096,0.015907311929513612
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",mho,0.323943661971831,0.2814814814814815,0.14666666666666667,0.3157894736842105,0.11920529801324503,0.00815418828762049
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_Modbus.csv",mho,0.3491271820448878,0.3076923076923077,0.2982456140350877,0.33986928104575165,0.34309623430962344,0.006030947735264358
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",mho,0.21205821205821207,0.2096069868995633,0.11627906976744186,0.21052631578947367,0.1875,0.0015318962687383975
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Weather.csv",mho,0.3511450381679389,0.3150684931506849,0.3157894736842105,0.3511450381679389,0.3192488262910798,0.0
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Modbus.csv",mho,0.32167832167832167,0.283987915407855,0.32167832167832167,0.30547550432276654,0.32167832167832167,0.0
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",mho,0.359375,0.359375,0.359375,0.359375,0.3264094955489614,0.0
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",mho,0.359375,0.33093525179856115,0.359375,0.359375,0.359375,0.0
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",random,0.3407707910750507,0.3459915611814346,0.3150684931506849,0.32748538011695905,0.2939068100358423,-0.005220770106383887
"IoT_Fridge.csv,IoT_Weather.csv,IoT_Modbus.csv",clustered,0.19424460431654678,0.14659685863874344,0.13574660633484162,0.20121951219512196,0.04081632653061224,-0.006974907878575187
"IoT_Fridge.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",clustered,0.26548672566371684,0.2490842490842491,0.22535211267605634,0.2727272727272727,0.0,-0.007240547063555869
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",greedy,0.29213483146067415,0.06451612903225806,0.3053435114503817,0.2764227642276423,0.0,-0.013208679989707539
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_GPS_Tracker.csv",greedy,0.3394495412844037,0.33707865168539325,0.3586206896551724,0.3511450381679389,0.3230769230769231,-0.01917114837076872
"IoT_Garage_Door.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",clustered,0.3670212765957447,0.3108108108108108,0.3150684931506849,0.3887147335423197,0.29931972789115646,-0.02169345694657504
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Weather.csv",clustered,0.359375,0.2968197879858657,0.35294117647058826,0.3816793893129771,0.3492063492063492,-0.022304389312977124
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Weather.csv",greedy,0.32894736842105265,0.3121951219512195,0.3586206896551724,0.3511450381679389,0.30952380952380953,-0.029673321234119754
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_Modbus.csv",greedy,0.24390243902439024,0.16216216216216217,0.2743362831858407,0.2006269592476489,0.09523809523809523,-0.030433844161450452
"IoT_Thermostat.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",greedy,0.2555066079295154,0.27058823529411763,0.29333333333333333,0.22058823529411764,0.0,-0.03782672540381793
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Thermostat.csv",clustered,0.3127035830618892,0.2882882882882883,0.3466666666666667,0.35658914728682173,0.3383084577114428,-0.043885564224932505
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_Modbus.csv",greedy,0.23048327137546468,0.0,0.27715355805243447,0.16666666666666666,0.021505376344086023,-0.04667028667696979
"IoT_Motion_Light.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",random,0.30451127819548873,0.36607142857142855,0.23214285714285715,0.2543859649122807,0.1890547263681592,-0.061560150375939815
"IoT_Fridge.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",clustered,0.23430962343096234,0.19095477386934673,0.29457364341085274,0.32061068702290074,0.21666666666666667,-0.0863010635919384
"IoT_Weather.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",random,0.24101479915433405,0.33879781420765026,0.2275449101796407,0.2727272727272727,0.24113475177304963,-0.09778301505331621
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Motion_Light.csv",random,0.26900584795321636,0.375,0.31724137931034485,0.3511450381679389,0.375,-0.10599415204678364
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",all,0.12162162162162163,0.11627906976744186,0.12162162162162163,0.12162162162162163,0.2597402597402597,-0.1381186381186381
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",clustered,0.13333333333333333,0.3511450381679389,0.44692737430167595,0.46153846153846156,0.35555555555555557,-0.32820512820512826
